iter	Passed	Remaining
783	3842	1058
784	3844	1052
785	3850	1048
786	3856	1043
787	3861	1038
788	3867	1034
789	3872	1029
790	3875	1023
791	3877	1018
792	3884	1013
793	3886	1008
794	3888	1002
795	3890	997
796	3893	991
797	3897	986
798	3901	981
799	3904	976
800	3906	970
801	3912	965
802	3923	962
803	3930	958
804	3935	953
805	3938	947
806	3944	943
807	3947	938
808	3950	932
809	3952	927
810	3955	921
811	3960	916
812	3964	911
813	3967	906
814	3970	901
815	3977	896
816	3985	892
817	3991	887
818	3995	882
819	4000	878
820	4003	872
821	4008	867
822	4011	862
823	4014	857
824	4016	851
825	4020	846
826	4028	842
827	4032	837
828	4037	832
829	4041	827
830	4043	822
831	4045	816
832	4048	811
833	4052	806
834	4059	802
835	4062	796
836	4065	791
837	4070	786
838	4073	781
839	4076	776
840	4078	771
841	4080	765
842	4084	760
843	4092	756
844	4095	751
845	4100	746
846	4104	741
847	4107	736
848	4110	731
849	4113	725
850	4121	721
851	4125	716
852	4127	711
853	4136	707
854	4138	701
855	4140	696
856	4143	691
857	4150	686
858	4158	682
859	4166	678
860	4169	673
861	4171	667
862	4174	662
863	4179	657
864	4186	653
865	4188	648
866	4200	644
867	4203	639
868	4206	634
869	4210	629
870	4212	623
871	4218	619
872	4221	614
873	4227	609
874	4229	604
875	4231	598
876	4234	593
877	4236	588
878	4239	583
879	4245	578
880	4249	573
881	4251	568
882	4254	563
883	4259	558
884	4266	554
885	4271	549
886	4278	545
887	4281	540
888	4284	534
889	4289	530
890	4292	525
891	4294	519
892	4297	514
893	4299	509
894	4303	504
895	4307	499
896	4311	495
897	4313	490
898	4319	485
899	4330	481
900	4336	476
901	4342	471
902	4344	466
903	4346	461
904	4357	457
905	4360	452
906	4362	447
907	4375	443
908	4377	438
909	4389	434
910	4406	430
911	4414	425
912	4417	420
913	4420	415
914	4423	410
915	4426	405
916	4431	401
917	4435	396
918	4437	391
919	4440	386
920	4446	381
921	4452	376
922	4457	371
923	4462	367
924	4467	362
925	4470	357
926	4475	352
927	4478	347
928	4481	342
929	4484	337
930	4486	332
931	4495	328
932	4501	323
933	4507	318
934	4511	313
935	4514	308
936	4517	303
937	4521	298
938	4527	294
939	4531	289
940	4534	284
941	4540	279
942	4543	274
943	4547	269
944	4550	264
945	4554	259
946	4564	255
947	4570	250
948	4573	245
949	4576	240
950	4579	235
951	4581	230
952	4586	226
953	4594	221
954	4596	216
955	4601	211
956	4605	206
957	4607	201
958	4609	197
959	4612	192
960	4616	187
961	4625	182
962	4628	177
963	4634	173
964	4637	168
965	4639	163
966	4642	158
967	4644	153
968	4647	148
969	4655	143
970	4657	139
971	4659	134
972	4665	129
973	4668	124
974	4670	119
975	4673	114
976	4675	110
977	4678	105
978	4684	100
979	4689	95
980	4691	90
981	4698	86
982	4701	81
983	4704	76
984	4707	71
985	4712	66
986	4719	62
987	4721	57
988	4729	52
989	4735	47
990	4744	43
991	4748	38
992	4750	33
993	4753	28
994	4761	23
995	4765	19
996	4768	14
997	4775	9
998	4781	4
999	4786	0
